Bundle report (raw filesystem bytes; sorted by size descending, then filename)
Assets directory: dist/assets

Entrypoints
- modern: index-Cc-K3rHU.js = 323.11 KiB
- legacy: index-legacy-CumbyAwY.js = 458.57 KiB

JavaScript chunks
target	size	file
legacy	26.73 KiB	wardleyDiagram-VM6X3IG4-legacy-5qzx4Hni.js
modern	26.48 KiB	rough.esm-DOsfkV43.js
modern	26.19 KiB	ForkTimeline-3vituELI.js
modern	24.63 KiB	wardleyDiagram-VM6X3IG4-C0Fc0qd5.js
legacy	23.38 KiB	graphlib-legacy-B4Q9ikWQ.js
modern	23.37 KiB	graphlib-Cs7HBx5q.js
legacy	23.37 KiB	mindmap-definition-FBJOCRG2-legacy-BF2TNUJu.js
legacy	23.23 KiB	sankeyDiagram-P5KCCOFB-legacy-69PUcZjO.js
legacy	23.13 KiB	journeyDiagram-EYS64GPL-legacy-DyTfpumq.js
modern	22.95 KiB	mindmap-definition-FBJOCRG2-DJ_bJsq2.js
legacy	22.75 KiB	lib-legacy-CYwJyS8t.js
modern	22.67 KiB	journeyDiagram-EYS64GPL-DDGhYjoF.js
modern	22.60 KiB	lib-DAIiINLQ.js
modern	22.29 KiB	sankeyDiagram-P5KCCOFB-C5vh1U3F.js
modern	21.54 KiB	ui-vendor-DbZmpNEu.js
legacy	21.31 KiB	ui-vendor-legacy-B9cDmGiP.js
legacy	20.52 KiB	kanban-definition-3QL26DDD-legacy-BgF_piDj.js
modern	19.88 KiB	kanban-definition-3QL26DDD-DbyDdp1t.js
legacy	17.58 KiB	ishikawaDiagram-5VMMS53U-legacy-zVb137-c.js
modern	16.96 KiB	ishikawaDiagram-5VMMS53U-Btabf8J-.js
legacy	16.24 KiB	diagram-VX7I27RA-legacy-BnJK9xWe.js
legacy	16.10 KiB	chunk-SVP7TREG-legacy-DbAhQFE-.js
modern	15.38 KiB	diagram-VX7I27RA-Gt1mu_QH.js
modern	15.28 KiB	chunk-SVP7TREG-BZUoKIbA.js
legacy	12.23 KiB	dagre-3AP2YEHR-legacy-Ca4iOd68.js
legacy	11.21 KiB	diagram-VSXAHHWV-legacy-CsVkm7-b.js
legacy	11.02 KiB	chunk-DSNCTWBM-legacy-geYTx2q9.js
legacy	10.84 KiB	stateDiagram-HBIQ2CUA-legacy-CtdXdbWu.js
modern	10.70 KiB	dagre-3AP2YEHR-36pW_hi9.js
modern	10.42 KiB	diagram-VSXAHHWV-0ViLkzYY.js
modern	10.40 KiB	stateDiagram-HBIQ2CUA-pqfdUXCi.js
modern	10.15 KiB	chunk-DSNCTWBM-sgtvGb1x.js
legacy	10.10 KiB	cynefinDiagram-5FMLGOSQ-legacy-CSJ4nciV.js
legacy	9.78 KiB	chunk-JQ64N6SF-legacy-DpNcqHdB.js
modern	9.68 KiB	cynefinDiagram-5FMLGOSQ-CmjHjsC4.js
modern	9.49 KiB	chunk-JQ64N6SF-BvvA51yx.js
legacy	8.53 KiB	diagram-S7CK7UJ4-legacy-E6hiEMdR.js
modern	8.01 KiB	diagram-S7CK7UJ4-DRoD6XQ9.js
legacy	6.96 KiB	rpcDownloadService-legacy-3NfcwQGO.js
modern	6.73 KiB	rpcDownloadService-yUiPB7Ye.js
legacy	6.73 KiB	diagram-UQ7AKVKN-legacy-pkoq7KM-.js
modern	6.69 KiB	mermaid-parser.core-B-Yf5qX_.js
legacy	6.50 KiB	pieDiagram-E7YTZNPT-legacy-BGT00K9J.js
modern	6.09 KiB	pieDiagram-E7YTZNPT-DrZukMH3.js
legacy	6.05 KiB	micromark-factory-space-legacy-C1_ASPLP.js
legacy	5.96 KiB	rehype-katex-legacy-i4FvvTwR.js
modern	5.92 KiB	diagram-UQ7AKVKN-7O1FdTzq.js
legacy	5.90 KiB	chunk-PWAF6VOD-legacy-DNTQ-nq1.js
modern	5.77 KiB	rehype-katex-Cna3vMw4.js
legacy	5.76 KiB	remark-math-legacy-oq8wDzVy.js
modern	5.70 KiB	chunk-PWAF6VOD-DFhIC4xf.js
legacy	5.70 KiB	mermaid-parser.core-legacy-DYAWvQjL.js
modern	5.69 KiB	remark-math-BY8Zfulx.js
legacy	5.52 KiB	linear-legacy-5ZukwUYv.js
modern	5.41 KiB	linear-CYZa6HCF.js
legacy	4.57 KiB	defaultLocale-legacy-DjxtqpEq.js
modern	4.54 KiB	defaultLocale-C7sQPl-O.js
legacy	4.52 KiB	diagram-Z3DM3KII-legacy-CMrWKd1T.js
modern	4.19 KiB	diagram-Z3DM3KII-DIFolYK-.js
modern	3.79 KiB	chunk-CKBBP62Z-Dx4NTD5L.js
legacy	3.49 KiB	arc-legacy-P7YQWbiv.js
modern	3.39 KiB	arc-B5SNbDwJ.js
legacy	2.83 KiB	chunk-CKBBP62Z-legacy-C6fBOftx.js
legacy	2.63 KiB	path-legacy-BabXbOFa.js
modern	2.26 KiB	path-jlWYQ2i9.js
legacy	2.25 KiB	ebnfDiagram-PWID7BFC-legacy-Csd51Yq8.js
legacy	2.20 KiB	pegDiagram-XKGWAZYB-legacy-BtwVxpbh.js
legacy	2.16 KiB	dist-legacy-B8AMD6JQ.js
modern	2.12 KiB	dist-BQQPWrU0.js
modern	2.06 KiB	ebnfDiagram-PWID7BFC-CxRB18Sv.js
legacy	2.06 KiB	chunk-P2QGCYS3-legacy-DQDDRnKu.js
legacy	2.04 KiB	chunk-F27PBJKO-legacy-B_7qz8nI.js
modern	2.01 KiB	pegDiagram-XKGWAZYB-B5C4SKiF.js
legacy	2.00 KiB	abnfDiagram-VCTEODGH-legacy-B4PB1cpP.js
modern	1.93 KiB	chunk-F27PBJKO-C-3UIsCq.js
modern	1.90 KiB	chunk-P2QGCYS3-Dz-A7D4x.js
modern	1.86 KiB	abnfDiagram-VCTEODGH-B9xqddU9.js
legacy	1.84 KiB	railroadDiagram-O6MQD6OU-legacy-CPWuGkJK.js
legacy	1.73 KiB	chunk-6EIED4P4-legacy-CHLCpO5R.js
modern	1.67 KiB	railroadDiagram-O6MQD6OU-CV8-t-mg.js
legacy	1.64 KiB	chunk-OBVCFTLP-legacy-DeS16Ivb.js
modern	1.63 KiB	chunk-6EIED4P4-CtgLE1pZ.js
legacy	1.55 KiB	chunk-6K3QC6MW-legacy-UsKH182l.js
modern	1.42 KiB	chunk-6K3QC6MW-B4g3RCZM.js
modern	1.39 KiB	chunk-OBVCFTLP-BcbJ4C7X.js
legacy	1.23 KiB	ordinal-legacy-CJI0RCcj.js
legacy	1.19 KiB	chunk-2ZTRR5NV-legacy-DYOLsuT-.js
legacy	1.19 KiB	sizeCapture-X5ZJPWSS-legacy-YT-0XYfs.js
legacy	1.16 KiB	swimlanesDiagram-VK2B7HYN-legacy-CKHouaeC.js
