Bundle report (raw filesystem bytes; sorted by size descending, then filename)
Assets directory: dist/assets

Entrypoints
- modern: index-Cpvw5u4Y.js = 2398.64 KiB
- legacy: index-legacy-BsslAApy.js = 2762.40 KiB

JavaScript chunks
target	size	file
modern	16.96 KiB	ishikawaDiagram-5VMMS53U-vbWp8vVV.js
legacy	16.24 KiB	diagram-VX7I27RA-legacy-zErkmdaS.js
legacy	16.10 KiB	chunk-SVP7TREG-legacy-pPqQCjeV.js
modern	15.38 KiB	diagram-VX7I27RA-BcIAXWqk.js
modern	15.28 KiB	chunk-SVP7TREG-Bu18gYYE.js
legacy	12.23 KiB	dagre-3AP2YEHR-legacy-DyKsfM8B.js
legacy	11.21 KiB	diagram-VSXAHHWV-legacy-C0pUoA8_.js
legacy	11.02 KiB	chunk-DSNCTWBM-legacy-XItxweJa.js
legacy	10.84 KiB	stateDiagram-HBIQ2CUA-legacy-B-m3JEbu.js
modern	10.70 KiB	dagre-3AP2YEHR-C0-X-tBW.js
modern	10.42 KiB	diagram-VSXAHHWV-BjXIr1nA.js
modern	10.40 KiB	stateDiagram-HBIQ2CUA-BAA5qhEZ.js
modern	10.15 KiB	chunk-DSNCTWBM-CI5u9FO-.js
legacy	10.10 KiB	cynefinDiagram-5FMLGOSQ-legacy-BbIEBlSm.js
legacy	9.78 KiB	chunk-JQ64N6SF-legacy-CrDTWczs.js
modern	9.68 KiB	cynefinDiagram-5FMLGOSQ-DI61-lyC.js
modern	9.49 KiB	chunk-JQ64N6SF-B1S7oQ2U.js
legacy	8.53 KiB	diagram-S7CK7UJ4-legacy-DDtUh00V.js
modern	8.01 KiB	diagram-S7CK7UJ4-BVN3aKBz.js
modern	6.91 KiB	mermaid-parser.core-C9GhivO6.js
legacy	6.73 KiB	diagram-UQ7AKVKN-legacy-cacvD1sg.js
legacy	6.50 KiB	pieDiagram-E7YTZNPT-legacy-BP1RfKlc.js
modern	6.09 KiB	pieDiagram-E7YTZNPT-B06aSJDp.js
legacy	5.96 KiB	rehype-katex-legacy-B_8qUTFS.js
modern	5.92 KiB	diagram-UQ7AKVKN-C7We84Mm.js
legacy	5.90 KiB	chunk-PWAF6VOD-legacy-C6uGzQZD.js
modern	5.77 KiB	rehype-katex-BflScppV.js
legacy	5.74 KiB	remark-math-legacy-DyHSBh5r.js
modern	5.70 KiB	chunk-PWAF6VOD-BTDqOq6v.js
legacy	5.70 KiB	mermaid-parser.core-legacy-W8_rdjMj.js
modern	5.67 KiB	remark-math-BKCzYZKY.js
legacy	5.52 KiB	linear-legacy-DSHC5prA.js
modern	5.41 KiB	linear-BqadKW6K.js
legacy	4.57 KiB	defaultLocale-legacy-D4BTkev4.js
modern	4.54 KiB	defaultLocale-CPimVhfE.js
legacy	4.52 KiB	diagram-Z3DM3KII-legacy-DnsgWCBt.js
modern	4.19 KiB	diagram-Z3DM3KII-MdGdbP9d.js
modern	3.66 KiB	chunk-CKBBP62Z-Bj7SKzOL.js
legacy	3.49 KiB	arc-legacy-CdFth8G-.js
modern	3.39 KiB	arc-s2JxHOux.js
legacy	2.83 KiB	chunk-CKBBP62Z-legacy-DoCOmWR2.js
legacy	2.63 KiB	path-legacy-BycCsV-z.js
modern	2.26 KiB	path-BxQuywGl.js
legacy	2.25 KiB	ebnfDiagram-PWID7BFC-legacy-BBVzYqyx.js
legacy	2.20 KiB	pegDiagram-XKGWAZYB-legacy-pqLLvlXN.js
legacy	2.16 KiB	dist-legacy-koUYC-LY.js
modern	2.12 KiB	dist-D6xegLZy.js
modern	2.06 KiB	ebnfDiagram-PWID7BFC-Cnb2Vh4s.js
legacy	2.06 KiB	chunk-P2QGCYS3-legacy-D69hwO04.js
legacy	2.04 KiB	chunk-F27PBJKO-legacy-DQ0ZzP1z.js
modern	2.01 KiB	pegDiagram-XKGWAZYB-DW3vVju0.js
legacy	2.00 KiB	abnfDiagram-VCTEODGH-legacy-CXD1Knia.js
modern	1.93 KiB	chunk-F27PBJKO-P3RxNnCD.js
modern	1.90 KiB	chunk-P2QGCYS3-DVjLnh_D.js
modern	1.86 KiB	abnfDiagram-VCTEODGH-Btk5-X0D.js
legacy	1.84 KiB	railroadDiagram-O6MQD6OU-legacy-CISNGrIx.js
legacy	1.73 KiB	chunk-6EIED4P4-legacy-CVlvx15K.js
modern	1.67 KiB	railroadDiagram-O6MQD6OU-CHRX9Q9-.js
legacy	1.64 KiB	chunk-OBVCFTLP-legacy-gBS2swDB.js
modern	1.63 KiB	chunk-6EIED4P4-Bm9T3I0e.js
legacy	1.55 KiB	chunk-6K3QC6MW-legacy-Dd5Jte-U.js
modern	1.42 KiB	chunk-6K3QC6MW-3DO3WaKF.js
modern	1.39 KiB	chunk-OBVCFTLP-BeOjOqan.js
legacy	1.23 KiB	ordinal-legacy-gEr7AhT9.js
legacy	1.19 KiB	chunk-2ZTRR5NV-legacy-Cjkrlgqv.js
legacy	1.19 KiB	sizeCapture-X5ZJPWSS-legacy-CXPhr-jL.js
legacy	1.16 KiB	swimlanesDiagram-VK2B7HYN-legacy-BYJRWLmV.js
modern	1.15 KiB	ordinal-r6pIwRdZ.js
legacy	1.13 KiB	chunk-747NJXEK-legacy-C1GH761V.js
legacy	1.12 KiB	chunk-OUJLGHUK-legacy-COPSXdYV.js
modern	1.10 KiB	chunk-2ZTRR5NV-BaL3ZeJB.js
legacy	1.07 KiB	stateDiagram-v2-4QOOHH4V-legacy-Cenj29XV.js
legacy	1.07 KiB	classDiagram-DTDB5LWJ-legacy-JTVcQhoX.js
